Keys	zh	en	RawIconName	Type
↓ ↑ ← → ← →	防护罩生成包|防护罩背包|防护罩|蛋壳	Shield Generator Pack|Shield Generator|Shield	0xe2c2f655e0d20d76	B
↓ ← ← →	毒气地雷	Gas Mines	0xdfca79c9dca2b66d	G
	机械工坊	Robotics Workshop		
↓ ↑ → → ↑	哨戒机枪	Machine Gun Sentry	0x2d59fd6c06ddfecb	G
↓ ↑ → ←	加特林哨戒炮|加特林炮	Gatling Sentry	0x4b577c74635a7555	G
↓ ↑ → → ↓	迫击哨戒炮|迫击炮	Mortar Sentry	0x564c07b6a4144fb3	G
↓ ↑ ← ↑ → ↓	护卫犬	Guard Dog	0x835d14dea199741e	B
↓ ↑ → ↑ ← ↑	自动哨戒炮|哨戒炮	AutoCannon Sentry	0xdcca83a50e2bbb6f	G
↓ ↑ → → ←	火箭哨戒炮|火箭炮	Rocket Sentry	0x07b12e63de39aac9	G
↓ ↑ → ↓ →	电磁冲击波迫击哨戒炮|电磁炮	EMS Mortar Sentry	0xf33c816df715686a	G
← ↓ → ↑ ← ↓ ↓	爱国者外骨骼装甲|爱国者	Patriot Exosuit|Patriot	0x396eca60a6e80e17	B
← ↓ → ↑ ← ↓ ↑	解放者外骨骼装甲|解放者	Emancipator Exosuit|Emancipator	0xcca47e13fc4682e8	B
	任务	Mission		
↑ ↑ ← ↑ →	飞鹰重新武装|飞鹰武装|重新武装	Eagle Rearm	0x6389c0bd365cb3a1	Y
↑ ↓ → ← ↑	增援|救人|救队友|救援	Reinforce|Rescue|Help	0x908edccc198159e6	Y
↑ ↓ → ↑	SOS信标|信标|求救	SOS Beacon	0x1af3051a292e5d7d	Y
↓ ↓ ↑ →	重新补给|补给	Resupply|Supply	0x89fb769b9cf03e58	Y
↓ ↑ ← ↓ ↑ → ↓ ↑	地狱火炸弹|地狱火	Hellbomb	0x6a5f72ebc8c9737f	Y
↓ ↓ ↓ ↑ ↑	运送超级固态硬盘|固态硬盘	SSSD Delivery	0xcc4ad13bc7a30912	Y
↑ ↑ ← → ↓ ↓	地震探测仪	Seismic Probe	0x2689ffb6c960ecfb	Y
← → ↑ ↑ ↑	上传重要数据|上传数据	Upload Data	0xcc4ad13bc7a30912	Y
→ ↑ ↑ ↓	超级地球大炮|超级大炮|地球大炮	SEAF Artillery	0x53031033ee7a60e3	Y
↓ ↑ ↓ ↑	超级地球旗帜|超级旗帜|地球旗帜	Super Earth Flag	0x48fb504253472482	Y
← ↑ ↓ → ↓ ↓	虫窝破裂者钻机|虫窝破裂者|破裂者钻机	Hive Breaker Drill	0x0a8458713904d40b	Y
	化学专家/都市传奇...	Chemical Agents/Urban Legends...		
↓ ← ↑ ↓ ←	灭菌器	Sterilizer	0x5952182c76b51d1c	B
↓ ↑ ← ↑ → ↑	护卫犬腐息|毒气狗	Guard Dog Dog Breath	0x94e071518262045d	B
↓ ↑ ← → ↑ ↑	定向护盾	Directional Shield	0x4518898df9888368	B
↓ ↑ → ↓ ↑ ↑	火焰喷射哨戒炮|火焰哨戒炮|火焰炮	Flame Sentry	0x89509cecadff38e7	G
↓ ↑ ← → → →	反坦克炮台|反坦克炮	Anti-Tank Emplacement	0x6be43825767c4437	G
↓ → ↑ ↑ ↑	便携式地狱火炸弹|便携式地狱火|便携地狱火	Portable Hellbomb	0x1e8f939183a990bd	B
↓ ↑ ↑ ↓ ← →	悬浮背包	Hover Pack	0xf245740ed2931b16	B
↓ ← → → ↑	唯一真旗	One True Flag	0x4966b6a9fb422ab5	B
↓ ↑ ← ↑ → ←	护卫犬K-90	Guard Dog K-9	0x6c030b6f244be563	B
← → ↑ ← →	缓和使者	De-escalator	0xe2191f8010434fdd	B
↓ ↑ → ↓ ↑ →	激光哨戒炮	Laser Sentry	0xee6a25e8c10f59b0	G
↓ ← → ↓ ← →	传送背包	Warp Pack	0x9b34a00d7838336b	B
↓ ← ↑ ← →	纪元	Epoch	0x45660fc429e7d2d4	B
